metric,mean_spearman,ci_lower,ci_upper
lpips,0.11080901417515852,-0.2593062933086704,0.47009703296809885
ms_ssim,0.06306049644070265,-0.2794818535686019,0.3973135250139567
clip_cosine,0.3423392623955099,-0.02073073054792624,0.6701418726833546
