metric,kendall_tau,pearson,spearman
clip_cosine,0.292576491054752,0.33608673853494586,0.3423392623955099
lpips,0.11904071838854448,0.13274848407788348,0.11080901417515854
ms_ssim,0.005808604721648236,0.10197863604444567,0.06306049644070269
