variant,lpips,ms_ssim,clip_cosine
a,0.7432325482368469,0.3993934730688731,0.7879266738891602
b,0.7637778441111247,0.4055206875006358,0.7725608348846436
c,0.7546723922093709,0.45788754026095074,0.7864157716433208
d,0.7637370149294536,0.44302545487880707,0.7900681257247925
