variant,1,2,3,4
a,11.666666666666666,6.666666666666667,3.3333333333333335,3.3333333333333335
b,6.666666666666667,8.333333333333332,6.666666666666667,3.3333333333333335
c,5.0,5.0,6.666666666666667,8.333333333333332
d,1.6666666666666667,5.0,8.333333333333332,10.0
