metric,variant,best_count,global_best_percent
lpips,gg,7,11.666666666666666
lpips,cg,4,6.666666666666667
lpips,gc,3,5.0
lpips,cc,1,1.6666666666666667
ms_ssim,gg,1,1.6666666666666667
ms_ssim,cg,5,8.333333333333332
ms_ssim,gc,4,6.666666666666667
ms_ssim,cc,5,8.333333333333332
clip_cosine,gg,6,10.0
clip_cosine,cg,2,3.3333333333333335
clip_cosine,gc,2,3.3333333333333335
clip_cosine,cc,5,8.333333333333332
