variant,clip_global_win_percent,lpips_global_win_percent,ms_ssim_global_win_percent,human_top1_percent,lpips_minus_human,ms_ssim_minus_human,clip_minus_human
gg,10.0,11.666666666666666,1.6666666666666667,44.0,-32.333333333333336,-42.333333333333336,-34.0
cg,3.3333333333333335,6.666666666666667,8.333333333333332,22.0,-15.333333333333332,-13.666666666666668,-18.666666666666668
gc,3.3333333333333335,5.0,6.666666666666667,13.333333333333334,-8.333333333333334,-6.666666666666667,-10.0
cc,8.333333333333332,1.6666666666666667,8.333333333333332,20.666666666666668,-19.0,-12.333333333333336,-12.333333333333336
