rater,folder,pair,first,second,rank_diff,order
0,01,gg_vs_cg,gg,cg,-3.0,first_better
0,02,gg_vs_cg,gg,cg,1.0,second_better
0,03,gg_vs_cg,gg,cg,-1.0,first_better
0,04,gg_vs_cg,gg,cg,-1.0,first_better
0,05,gg_vs_cg,gg,cg,-1.0,first_better
0,06,gg_vs_cg,gg,cg,1.0,second_better
0,07,gg_vs_cg,gg,cg,-2.0,first_better
0,08,gg_vs_cg,gg,cg,-1.0,first_better
0,09,gg_vs_cg,gg,cg,2.0,second_better
0,10,gg_vs_cg,gg,cg,-3.0,first_better
0,11,gg_vs_cg,gg,cg,-1.0,first_better
0,12,gg_vs_cg,gg,cg,-1.0,first_better
0,13,gg_vs_cg,gg,cg,-1.0,first_better
0,14,gg_vs_cg,gg,cg,-1.0,first_better
0,15,gg_vs_cg,gg,cg,1.0,second_better
1,01,gg_vs_cg,gg,cg,-1.0,first_better
1,02,gg_vs_cg,gg,cg,1.0,second_better
1,03,gg_vs_cg,gg,cg,-1.0,first_better
1,04,gg_vs_cg,gg,cg,1.0,second_better
1,05,gg_vs_cg,gg,cg,-1.0,first_better
1,06,gg_vs_cg,gg,cg,1.0,second_better
1,07,gg_vs_cg,gg,cg,-2.0,first_better
1,08,gg_vs_cg,gg,cg,-3.0,first_better
1,09,gg_vs_cg,gg,cg,-2.0,first_better
1,10,gg_vs_cg,gg,cg,-1.0,first_better
1,11,gg_vs_cg,gg,cg,1.0,second_better
1,12,gg_vs_cg,gg,cg,1.0,second_better
1,13,gg_vs_cg,gg,cg,1.0,second_better
1,14,gg_vs_cg,gg,cg,1.0,second_better
1,15,gg_vs_cg,gg,cg,2.0,second_better
2,01,gg_vs_cg,gg,cg,-2.0,first_better
2,02,gg_vs_cg,gg,cg,1.0,second_better
2,03,gg_vs_cg,gg,cg,-1.0,first_better
2,04,gg_vs_cg,gg,cg,-3.0,first_better
2,05,gg_vs_cg,gg,cg,-1.0,first_better
2,06,gg_vs_cg,gg,cg,1.0,second_better
2,07,gg_vs_cg,gg,cg,-1.0,first_better
2,08,gg_vs_cg,gg,cg,-1.0,first_better
2,09,gg_vs_cg,gg,cg,3.0,second_better
2,10,gg_vs_cg,gg,cg,-2.0,first_better
2,11,gg_vs_cg,gg,cg,-1.0,first_better
2,12,gg_vs_cg,gg,cg,2.0,second_better
2,13,gg_vs_cg,gg,cg,1.0,second_better
2,14,gg_vs_cg,gg,cg,-1.0,first_better
2,15,gg_vs_cg,gg,cg,-2.0,first_better
3,01,gg_vs_cg,gg,cg,-3.0,first_better
3,02,gg_vs_cg,gg,cg,3.0,second_better
3,03,gg_vs_cg,gg,cg,-1.0,first_better
3,04,gg_vs_cg,gg,cg,1.0,second_better
3,05,gg_vs_cg,gg,cg,-2.0,first_better
3,06,gg_vs_cg,gg,cg,1.0,second_better
3,07,gg_vs_cg,gg,cg,-2.0,first_better
3,08,gg_vs_cg,gg,cg,-1.0,first_better
3,09,gg_vs_cg,gg,cg,1.0,second_better
3,10,gg_vs_cg,gg,cg,1.0,second_better
3,11,gg_vs_cg,gg,cg,-1.0,first_better
3,12,gg_vs_cg,gg,cg,1.0,second_better
3,13,gg_vs_cg,gg,cg,2.0,second_better
3,14,gg_vs_cg,gg,cg,-1.0,first_better
3,15,gg_vs_cg,gg,cg,-2.0,first_better
4,01,gg_vs_cg,gg,cg,-3.0,first_better
4,02,gg_vs_cg,gg,cg,-3.0,first_better
4,03,gg_vs_cg,gg,cg,-2.0,first_better
4,04,gg_vs_cg,gg,cg,-1.0,first_better
4,05,gg_vs_cg,gg,cg,-1.0,first_better
4,06,gg_vs_cg,gg,cg,-3.0,first_better
4,07,gg_vs_cg,gg,cg,-2.0,first_better
4,08,gg_vs_cg,gg,cg,-2.0,first_better
4,09,gg_vs_cg,gg,cg,-1.0,first_better
4,10,gg_vs_cg,gg,cg,-2.0,first_better
4,11,gg_vs_cg,gg,cg,-1.0,first_better
4,12,gg_vs_cg,gg,cg,2.0,second_better
4,13,gg_vs_cg,gg,cg,2.0,second_better
4,14,gg_vs_cg,gg,cg,1.0,second_better
4,15,gg_vs_cg,gg,cg,-3.0,first_better
5,01,gg_vs_cg,gg,cg,-1.0,first_better
5,02,gg_vs_cg,gg,cg,1.0,second_better
5,03,gg_vs_cg,gg,cg,1.0,second_better
5,04,gg_vs_cg,gg,cg,1.0,second_better
5,05,gg_vs_cg,gg,cg,-1.0,first_better
5,06,gg_vs_cg,gg,cg,3.0,second_better
5,07,gg_vs_cg,gg,cg,-2.0,first_better
5,08,gg_vs_cg,gg,cg,-1.0,first_better
5,09,gg_vs_cg,gg,cg,1.0,second_better
5,10,gg_vs_cg,gg,cg,1.0,second_better
5,11,gg_vs_cg,gg,cg,-1.0,first_better
5,12,gg_vs_cg,gg,cg,-1.0,first_better
5,13,gg_vs_cg,gg,cg,1.0,second_better
5,14,gg_vs_cg,gg,cg,1.0,second_better
5,15,gg_vs_cg,gg,cg,-3.0,first_better
6,01,gg_vs_cg,gg,cg,-3.0,first_better
6,02,gg_vs_cg,gg,cg,3.0,second_better
6,03,gg_vs_cg,gg,cg,-3.0,first_better
6,04,gg_vs_cg,gg,cg,-2.0,first_better
6,05,gg_vs_cg,gg,cg,1.0,second_better
6,06,gg_vs_cg,gg,cg,-1.0,first_better
6,07,gg_vs_cg,gg,cg,-2.0,first_better
6,08,gg_vs_cg,gg,cg,1.0,second_better
6,09,gg_vs_cg,gg,cg,2.0,second_better
6,10,gg_vs_cg,gg,cg,1.0,second_better
6,11,gg_vs_cg,gg,cg,-3.0,first_better
6,12,gg_vs_cg,gg,cg,-1.0,first_better
6,13,gg_vs_cg,gg,cg,1.0,second_better
6,14,gg_vs_cg,gg,cg,-1.0,first_better
6,15,gg_vs_cg,gg,cg,-2.0,first_better
7,01,gg_vs_cg,gg,cg,-2.0,first_better
7,02,gg_vs_cg,gg,cg,-1.0,first_better
7,03,gg_vs_cg,gg,cg,-1.0,first_better
7,04,gg_vs_cg,gg,cg,-1.0,first_better
7,05,gg_vs_cg,gg,cg,3.0,second_better
7,06,gg_vs_cg,gg,cg,1.0,second_better
7,07,gg_vs_cg,gg,cg,-2.0,first_better
7,08,gg_vs_cg,gg,cg,-3.0,first_better
7,09,gg_vs_cg,gg,cg,2.0,second_better
7,10,gg_vs_cg,gg,cg,-1.0,first_better
7,11,gg_vs_cg,gg,cg,3.0,second_better
7,12,gg_vs_cg,gg,cg,-1.0,first_better
7,13,gg_vs_cg,gg,cg,1.0,second_better
7,14,gg_vs_cg,gg,cg,-2.0,first_better
7,15,gg_vs_cg,gg,cg,-2.0,first_better
8,01,gg_vs_cg,gg,cg,-3.0,first_better
8,02,gg_vs_cg,gg,cg,-1.0,first_better
8,03,gg_vs_cg,gg,cg,-1.0,first_better
8,04,gg_vs_cg,gg,cg,1.0,second_better
8,05,gg_vs_cg,gg,cg,3.0,second_better
8,06,gg_vs_cg,gg,cg,-2.0,first_better
8,07,gg_vs_cg,gg,cg,-3.0,first_better
8,08,gg_vs_cg,gg,cg,-1.0,first_better
8,09,gg_vs_cg,gg,cg,2.0,second_better
8,10,gg_vs_cg,gg,cg,1.0,second_better
8,11,gg_vs_cg,gg,cg,-2.0,first_better
8,12,gg_vs_cg,gg,cg,3.0,second_better
8,13,gg_vs_cg,gg,cg,1.0,second_better
8,14,gg_vs_cg,gg,cg,1.0,second_better
8,15,gg_vs_cg,gg,cg,-3.0,first_better
9,01,gg_vs_cg,gg,cg,-3.0,first_better
9,02,gg_vs_cg,gg,cg,-3.0,first_better
9,03,gg_vs_cg,gg,cg,-1.0,first_better
9,04,gg_vs_cg,gg,cg,-2.0,first_better
9,05,gg_vs_cg,gg,cg,-2.0,first_better
9,06,gg_vs_cg,gg,cg,1.0,second_better
9,07,gg_vs_cg,gg,cg,-2.0,first_better
9,08,gg_vs_cg,gg,cg,-1.0,first_better
