rater,folder,pair,first,second,rank_diff,order
9,09,gg_vs_cg,gg,cg,2.0,second_better
9,10,gg_vs_cg,gg,cg,-1.0,first_better
9,11,gg_vs_cg,gg,cg,-2.0,first_better
9,12,gg_vs_cg,gg,cg,-1.0,first_better
9,13,gg_vs_cg,gg,cg,1.0,second_better
9,14,gg_vs_cg,gg,cg,-1.0,first_better
9,15,gg_vs_cg,gg,cg,-3.0,first_better
0,01,gc_vs_cc,gc,cc,-1.0,first_better
0,02,gc_vs_cc,gc,cc,1.0,second_better
0,03,gc_vs_cc,gc,cc,1.0,second_better
0,04,gc_vs_cc,gc,cc,1.0,second_better
0,05,gc_vs_cc,gc,cc,-1.0,first_better
0,06,gc_vs_cc,gc,cc,1.0,second_better
0,07,gc_vs_cc,gc,cc,2.0,second_better
0,08,gc_vs_cc,gc,cc,1.0,second_better
0,09,gc_vs_cc,gc,cc,-2.0,first_better
0,10,gc_vs_cc,gc,cc,-1.0,first_better
0,11,gc_vs_cc,gc,cc,-1.0,first_better
0,12,gc_vs_cc,gc,cc,-1.0,first_better
0,13,gc_vs_cc,gc,cc,1.0,second_better
0,14,gc_vs_cc,gc,cc,1.0,second_better
0,15,gc_vs_cc,gc,cc,-3.0,first_better
1,01,gc_vs_cc,gc,cc,-1.0,first_better
1,02,gc_vs_cc,gc,cc,1.0,second_better
1,03,gc_vs_cc,gc,cc,1.0,second_better
1,04,gc_vs_cc,gc,cc,1.0,second_better
1,05,gc_vs_cc,gc,cc,-1.0,first_better
1,06,gc_vs_cc,gc,cc,-3.0,first_better
1,07,gc_vs_cc,gc,cc,2.0,second_better
1,08,gc_vs_cc,gc,cc,1.0,second_better
1,09,gc_vs_cc,gc,cc,2.0,second_better
1,10,gc_vs_cc,gc,cc,-1.0,first_better
1,11,gc_vs_cc,gc,cc,1.0,second_better
1,12,gc_vs_cc,gc,cc,1.0,second_better
1,13,gc_vs_cc,gc,cc,1.0,second_better
1,14,gc_vs_cc,gc,cc,1.0,second_better
1,15,gc_vs_cc,gc,cc,-2.0,first_better
2,01,gc_vs_cc,gc,cc,-2.0,first_better
2,02,gc_vs_cc,gc,cc,1.0,second_better
2,03,gc_vs_cc,gc,cc,3.0,second_better
2,04,gc_vs_cc,gc,cc,1.0,second_better
2,05,gc_vs_cc,gc,cc,-1.0,first_better
2,06,gc_vs_cc,gc,cc,-1.0,first_better
2,07,gc_vs_cc,gc,cc,1.0,second_better
2,08,gc_vs_cc,gc,cc,1.0,second_better
2,09,gc_vs_cc,gc,cc,-1.0,first_better
2,10,gc_vs_cc,gc,cc,-2.0,first_better
2,11,gc_vs_cc,gc,cc,1.0,second_better
2,12,gc_vs_cc,gc,cc,2.0,second_better
2,13,gc_vs_cc,gc,cc,-1.0,first_better
2,14,gc_vs_cc,gc,cc,-1.0,first_better
2,15,gc_vs_cc,gc,cc,-2.0,first_better
3,01,gc_vs_cc,gc,cc,-1.0,first_better
3,02,gc_vs_cc,gc,cc,1.0,second_better
3,03,gc_vs_cc,gc,cc,3.0,second_better
3,04,gc_vs_cc,gc,cc,1.0,second_better
3,05,gc_vs_cc,gc,cc,2.0,second_better
3,06,gc_vs_cc,gc,cc,-1.0,first_better
3,07,gc_vs_cc,gc,cc,2.0,second_better
3,08,gc_vs_cc,gc,cc,1.0,second_better
3,09,gc_vs_cc,gc,cc,1.0,second_better
3,10,gc_vs_cc,gc,cc,-1.0,first_better
3,11,gc_vs_cc,gc,cc,-1.0,first_better
3,12,gc_vs_cc,gc,cc,-1.0,first_better
3,13,gc_vs_cc,gc,cc,-2.0,first_better
3,14,gc_vs_cc,gc,cc,-1.0,first_better
3,15,gc_vs_cc,gc,cc,-2.0,first_better
4,01,gc_vs_cc,gc,cc,-1.0,first_better
4,02,gc_vs_cc,gc,cc,1.0,second_better
4,03,gc_vs_cc,gc,cc,2.0,second_better
4,04,gc_vs_cc,gc,cc,1.0,second_better
4,05,gc_vs_cc,gc,cc,1.0,second_better
4,06,gc_vs_cc,gc,cc,-1.0,first_better
4,07,gc_vs_cc,gc,cc,2.0,second_better
4,08,gc_vs_cc,gc,cc,-2.0,first_better
4,09,gc_vs_cc,gc,cc,1.0,second_better
4,10,gc_vs_cc,gc,cc,2.0,second_better
4,11,gc_vs_cc,gc,cc,-1.0,first_better
4,12,gc_vs_cc,gc,cc,2.0,second_better
4,13,gc_vs_cc,gc,cc,2.0,second_better
4,14,gc_vs_cc,gc,cc,-1.0,first_better
4,15,gc_vs_cc,gc,cc,-1.0,first_better
5,01,gc_vs_cc,gc,cc,-1.0,first_better
5,02,gc_vs_cc,gc,cc,1.0,second_better
5,03,gc_vs_cc,gc,cc,1.0,second_better
5,04,gc_vs_cc,gc,cc,3.0,second_better
5,05,gc_vs_cc,gc,cc,-1.0,first_better
5,06,gc_vs_cc,gc,cc,1.0,second_better
5,07,gc_vs_cc,gc,cc,2.0,second_better
5,08,gc_vs_cc,gc,cc,-1.0,first_better
5,09,gc_vs_cc,gc,cc,1.0,second_better
5,10,gc_vs_cc,gc,cc,-1.0,first_better
5,11,gc_vs_cc,gc,cc,1.0,second_better
5,12,gc_vs_cc,gc,cc,1.0,second_better
5,13,gc_vs_cc,gc,cc,-1.0,first_better
5,14,gc_vs_cc,gc,cc,-1.0,first_better
5,15,gc_vs_cc,gc,cc,-1.0,first_better
6,01,gc_vs_cc,gc,cc,-1.0,first_better
6,02,gc_vs_cc,gc,cc,1.0,second_better
6,03,gc_vs_cc,gc,cc,-1.0,first_better
6,04,gc_vs_cc,gc,cc,-2.0,first_better
6,05,gc_vs_cc,gc,cc,1.0,second_better
6,06,gc_vs_cc,gc,cc,1.0,second_better
6,07,gc_vs_cc,gc,cc,2.0,second_better
6,08,gc_vs_cc,gc,cc,1.0,second_better
6,09,gc_vs_cc,gc,cc,-2.0,first_better
6,10,gc_vs_cc,gc,cc,1.0,second_better
6,11,gc_vs_cc,gc,cc,-1.0,first_better
6,12,gc_vs_cc,gc,cc,-3.0,first_better
6,13,gc_vs_cc,gc,cc,1.0,second_better
6,14,gc_vs_cc,gc,cc,-1.0,first_better
6,15,gc_vs_cc,gc,cc,-2.0,first_better
7,01,gc_vs_cc,gc,cc,-2.0,first_better
7,02,gc_vs_cc,gc,cc,-1.0,first_better
7,03,gc_vs_cc,gc,cc,1.0,second_better
7,04,gc_vs_cc,gc,cc,-1.0,first_better
7,05,gc_vs_cc,gc,cc,1.0,second_better
7,06,gc_vs_cc,gc,cc,-1.0,first_better
7,07,gc_vs_cc,gc,cc,2.0,second_better
7,08,gc_vs_cc,gc,cc,-1.0,first_better
7,09,gc_vs_cc,gc,cc,-2.0,first_better
7,10,gc_vs_cc,gc,cc,1.0,second_better
7,11,gc_vs_cc,gc,cc,1.0,second_better
7,12,gc_vs_cc,gc,cc,-1.0,first_better
7,13,gc_vs_cc,gc,cc,-1.0,first_better
7,14,gc_vs_cc,gc,cc,-2.0,first_better
7,15,gc_vs_cc,gc,cc,-2.0,first_better
8,01,gc_vs_cc,gc,cc,1.0,second_better
8,02,gc_vs_cc,gc,cc,1.0,second_better
8,03,gc_vs_cc,gc,cc,1.0,second_better
8,04,gc_vs_cc,gc,cc,1.0,second_better
8,05,gc_vs_cc,gc,cc,-1.0,first_better
8,06,gc_vs_cc,gc,cc,-2.0,first_better
8,07,gc_vs_cc,gc,cc,1.0,second_better
8,08,gc_vs_cc,gc,cc,1.0,second_better
8,09,gc_vs_cc,gc,cc,2.0,second_better
8,10,gc_vs_cc,gc,cc,1.0,second_better
8,11,gc_vs_cc,gc,cc,-2.0,first_better
8,12,gc_vs_cc,gc,cc,1.0,second_better
8,13,gc_vs_cc,gc,cc,1.0,second_better
8,14,gc_vs_cc,gc,cc,1.0,second_better
8,15,gc_vs_cc,gc,cc,-1.0,first_better
9,01,gc_vs_cc,gc,cc,1.0,second_better
9,02,gc_vs_cc,gc,cc,-1.0,first_better
9,03,gc_vs_cc,gc,cc,1.0,second_better
9,04,gc_vs_cc,gc,cc,2.0,second_better
9,05,gc_vs_cc,gc,cc,2.0,second_better
9,06,gc_vs_cc,gc,cc,-1.0,first_better
9,07,gc_vs_cc,gc,cc,2.0,second_better
9,08,gc_vs_cc,gc,cc,1.0,second_better
9,09,gc_vs_cc,gc,cc,-2.0,first_better
9,10,gc_vs_cc,gc,cc,-1.0,first_better
9,11,gc_vs_cc,gc,cc,-2.0,first_better
9,12,gc_vs_cc,gc,cc,1.0,second_better
9,13,gc_vs_cc,gc,cc,-1.0,first_better
9,14,gc_vs_cc,gc,cc,-1.0,first_better
9,15,gc_vs_cc,gc,cc,-1.0,first_better
