folder,variant,lpips,ms_ssim,clip_cosine,reference,image
01,a,0.6457574367523193,0.22994764149188995,0.7871127724647522,01_ref.jpg,01_a.jpg
01,b,0.778349757194519,0.05830708146095276,0.6965345740318298,01_ref.jpg,01_b.png
01,c,0.6727697849273682,0.2705939710140228,0.7402104139328003,01_ref.jpg,01_c.png
01,d,0.7343201637268066,0.059299275279045105,0.7111375331878662,01_ref.jpg,01_d.png
02,a,0.7320742607116699,0.2663745880126953,0.7641472816467285,02_ref.jpg,02_a.jpg
02,b,0.8241267204284668,0.2215878963470459,0.7507935762405396,02_ref.jpg,02_b.png
02,c,0.7607516646385193,0.28500422835350037,0.7565276026725769,02_ref.jpg,02_c.png
02,d,0.8820024728775024,0.2881760597229004,0.7284416556358337,02_ref.jpg,02_d.png
03,a,0.8498427271842957,0.4265787601470947,0.7735416293144226,03_ref.jpg,03_a.jpg
03,b,0.8295384049415588,0.43106982111930847,0.786293625831604,03_ref.jpg,03_b.png
03,c,0.46828359365463257,0.7207248210906982,0.7766558527946472,03_ref.jpg,03_c.png
03,d,0.4691840410232544,0.7263035774230957,0.8319936394691467,03_ref.jpg,03_d.png
04,a,0.8215575814247131,0.19932661950588226,0.8322048187255859,04_ref.jpeg,04_a.jpg
04,b,0.8898975253105164,0.2294018268585205,0.820128321647644,04_ref.jpeg,04_b.png
04,c,0.9143866896629333,0.2659399211406708,0.7712696194648743,04_ref.jpeg,04_c.png
04,d,0.9156529903411865,0.30111560225486755,0.7512984871864319,04_ref.jpeg,04_d.png
05,a,0.8014792799949646,0.24727778136730194,0.7667375206947327,05_ref.jpeg,05_a.jpg
05,b,0.8328768014907837,0.31873345375061035,0.7614923715591431,05_ref.jpeg,05_b.png
05,c,0.8777995109558105,0.3352164328098297,0.830389142036438,05_ref.jpeg,05_c.png
05,d,0.856910228729248,0.313991904258728,0.7803959250450134,05_ref.jpeg,05_d.png
06,a,0.7929242253303528,0.23131568729877472,0.7502638697624207,06_ref.jpeg,06_a.jpg
06,b,0.734820544719696,0.2883138954639435,0.6931993961334229,06_ref.jpeg,06_b.png
06,c,0.8301670551300049,0.2860207259654999,0.7741349935531616,06_ref.jpeg,06_c.png
06,d,0.8064732551574707,0.27773234248161316,0.7826011180877686,06_ref.jpeg,06_d.png
07,a,0.8245050311088562,0.3652682304382324,0.7535550594329834,07_ref.jpeg,07_a.jpg
07,b,0.8050920367240906,0.45733609795570374,0.7408498525619507,07_ref.jpeg,07_b.png
07,c,0.8808472156524658,0.33350399136543274,0.6784465909004211,07_ref.jpeg,07_c.png
07,d,0.8611972332000732,0.3961144685745239,0.7425633668899536,07_ref.jpeg,07_d.png
08,a,0.768602192401886,0.3816690146923065,0.7219907641410828,08_ref.jpeg,08_a.jpg
08,b,0.8567129373550415,0.49229738116264343,0.7186959385871887,08_ref.jpeg,08_b.png
08,c,0.8176660537719727,0.5567168593406677,0.771882951259613,08_ref.jpeg,08_c.png
08,d,0.8104890584945679,0.5481889247894287,0.7964143753051758,08_ref.jpeg,08_d.png
09,a,0.7686963677406311,0.25175854563713074,0.7602941989898682,09_ref.jpg,09_a.jpg
09,b,0.7182867527008057,0.3446579873561859,0.7810657620429993,09_ref.jpg,09_b.png
09,c,0.8330310583114624,0.25705820322036743,0.828109860420227,09_ref.jpg,09_c.png
09,d,0.8516696691513062,0.284125953912735,0.7798879146575928,09_ref.jpg,09_d.png
10,a,0.7068618535995483,0.3853572905063629,0.7904506325721741,10_ref.jpeg,10_a.jpg
10,b,0.6747005581855774,0.44684600830078125,0.8004912734031677,10_ref.jpeg,10_b.png
10,c,0.7213931679725647,0.43533220887184143,0.8185036182403564,10_ref.jpeg,10_c.png
10,d,0.6389749646186829,0.43592703342437744,0.8638139963150024,10_ref.jpeg,10_d.png
11,a,0.6720077991485596,0.7300310134887695,0.7769765853881836,11_ref.jpeg,11_a.jpg
11,b,0.7290865778923035,0.6237748861312866,0.7161006927490234,11_ref.jpeg,11_b.jpg
11,c,0.773762047290802,0.7351288795471191,0.7394353151321411,11_ref.jpeg,11_c.png
11,d,0.8132756352424622,0.7011319994926453,0.7829766869544983,11_ref.jpeg,11_d.png
12,a,0.7458534240722656,0.43494606018066406,0.765703558921814,12_ref.jpg,12_a.jpg
12,b,0.6866239309310913,0.5089676976203918,0.8323923349380493,12_ref.jpg,12_b.jpg
12,c,0.8649333119392395,0.38715600967407227,0.7626387476921082,12_ref.jpg,12_c.png
12,d,0.7814849615097046,0.42189356684684753,0.8210745453834534,12_ref.jpg,12_d.png
13,a,0.6478473544120789,0.6330302953720093,0.8134121894836426,13_ref.jpeg,13_a.jpg
13,b,0.6043216586112976,0.6574597954750061,0.8612573146820068,13_ref.jpeg,13_b.jpg
13,c,0.5038180947303772,0.7265585064888,0.8518072962760925,13_ref.jpeg,13_c.png
13,d,0.5047481060028076,0.7293919920921326,0.8148327469825745,13_ref.jpeg,13_d.png
14,a,0.7061814069747925,0.5148949027061462,0.8770263195037842,14_ref.jpeg,14_a.jpg
14,b,0.7059318423271179,0.555828332901001,0.8392190933227539,14_ref.jpeg,14_b.jpg
14,c,0.6942453980445862,0.6931353211402893,0.8498456478118896,14_ref.jpeg,14_c.png
14,d,0.7269068360328674,0.6943721771240234,0.8708661794662476,14_ref.jpeg,14_d.png
15,a,0.6642972826957703,0.6931256651878357,0.885482907295227,15_ref.jpg,15_a.jpg
15,b,0.7863016128540039,0.4482281506061554,0.7898983955383301,15_ref.jpg,15_b.jpg
15,c,0.7062312364578247,0.580223023891449,0.8463789224624634,15_ref.jpg,15_c.png
15,d,0.8027656078338623,0.4676169455051422,0.7927237153053284,15_ref.jpg,15_d.png
